session_id,target
1,7.673121581494604e-15
2,3.001290626720032e-16
3,3.3003518204294308e-15
4,2.678528857785873e-15
5,8.837654569968148e-15
6,8.120393849074935e-15
7,1.0706154812458145e-14
8,1.0432659915529938e-15
9,5.063061836223245e-15
10,3.575666332568441e-16
11,2.6236556976432403e-15
12,6.064263457240348e-15
13,3.184316362063635e-16
14,2.3860518082397818e-15
15,7.798613253354279e-15
16,6.5392977672385995e-15
17,2.6452874644883603e-15
18,7.0711882065109045e-15
19,9.713165480133919e-15
20,7.79851161367322e-17
21,9.669831021993695e-15
22,8.377672739858722e-15
23,4.083006198215903e-15
24,1.8657539977413785e-15
25,1.1486556866481374e-14
26,4.039134541351521e-15
27,1.112950120561775e-15
28,1.160596522001568e-15
29,1.0169932396169517e-14
30,7.244712376402693e-15
31,9.685539279292562e-15
32,8.756781440325815e-15
33,6.4347370974564086e-15
34,1.1677389167752447e-14
35,4.5424125265002414e-15
36,6.624487575278724e-15
37,9.952855971035938e-15
38,7.422237028370953e-15
39,1.0340482803729326e-14
40,6.928225743081144e-15
41,8.454862034579082e-15
42,5.498926038679465e-16
43,2.734779307818562e-15
44,3.4726555632252857e-15
45,9.575037230835299e-16
46,2.793490636332362e-15
47,1.2120171529167493e-15
48,3.3356832373211053e-15
49,7.628213331172802e-15
50,4.377986147641011e-15
51,4.442171605402591e-15
52,2.5140843692578523e-15
53,3.2037338645893602e-15
54,1.1239855052549927e-14
55,7.776424622959122e-15
56,7.309572068003857e-15
57,2.0536637783771637e-15
58,8.74952157540419e-15
59,1.9608299251431408e-15
60,4.5534653010917735e-15
61,1.1874280207639143e-14
62,7.679997118249114e-15
63,6.6833969252957545e-15
64,8.215371011878495e-15
65,1.0114223042277715e-14
66,9.311998938554938e-15
67,2.7485768635692524e-15
68,3.852029268484531e-16
69,3.785436576708983e-15
70,3.2128905117084325e-15
71,2.5317941230359175e-15
72,1.1314916572020653e-14
73,1.0516411517672025e-14
74,3.776134569581735e-15
75,7.86526398353856e-15
76,4.747582812727971e-15
77,1.0974571076886521e-14
78,5.506222231048785e-15
79,3.1785619979766295e-15
80,2.9595300923278013e-15
81,6.736417609957809e-15
82,3.152899302275223e-15
83,7.0150318826824856e-15
84,1.0773874603229724e-14
85,4.792806061684767e-15
86,2.6318491098873997e-15
87,1.1970451277941323e-14
88,6.114315524117574e-15
